arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
3954,Northbound,N,109346,2,10,6
3954,Southbound,N,109346,2,10,6
3954,Northbound,S,30059609,2,10,6
3954,Southbound,S,30059609,2,10,6
3954,Eastbound,W,30001838,2,10,6
3954,Westbound,W,30001838,2,10,6
3954,Eastbound,E,11653468,2,10,6
3954,Westbound,E,11653468,2,10,6
6446,Northbound,N,1146396,2,10,6
6446,Southbound,N,1146396,2,10,6
6446,Eastbound,W,30089213,2,10,6
6446,Westbound,W,30089213,2,10,6
6446,Eastbound,E,7586942,2,10,6
6446,Westbound,E,7586942,2,10,6
14947,Northbound,S,20235984,2,10,6
14947,Southbound,S,20235984,2,10,6
14947,Eastbound,W,20235972,2,10,6
14947,Westbound,W,20235972,2,10,6
14947,Eastbound,E,20235971,2,10,6
14947,Westbound,E,20235971,2,10,6
24761,Northbound,N,20111586,2,10,6
24761,Southbound,N,20111586,2,10,6
24761,Eastbound,W,30015173,2,10,6
24761,Westbound,W,30015173,2,10,6
24761,Eastbound,E,20111567,2,10,6
24761,Westbound,E,20111567,2,10,6
26356,Northbound,N,30009706,2,10,6
26356,Southbound,N,30009706,2,10,6
26356,Northbound,S,30009705,2,10,6
26356,Southbound,S,30009705,2,10,6
26356,Eastbound,E,30009707,2,10,6
26356,Westbound,E,30009707,2,10,6
32030,Northbound,N,30028870,2,10,6
32030,Southbound,N,30028870,2,10,6
32030,Northbound,S,30021316,2,10,6
32030,Southbound,S,30021316,2,10,6
32030,Eastbound,W,30021271,2,10,6
32030,Westbound,W,30021271,2,10,6
32030,Eastbound,E,30021270,2,10,6
32030,Westbound,E,30021270,2,10,6
32321,Eastbound,W,14189397,2,10,9
32321,Westbound,W,14189397,2,10,9
32481,Northbound,N,8206167,2,10,9
32481,Southbound,N,8206167,2,10,9
36908,Northbound,N,14675328,2,10,6
36908,Southbound,N,14675328,2,10,6
36908,Northbound,S,30074506,2,10,6
36908,Southbound,S,30074506,2,10,6
36908,Eastbound,W,14675135,2,10,6
36908,Westbound,W,14675135,2,10,6
4709,Northbound,N,20154558,2,10,9
4709,Southbound,N,20154558,2,10,9
4709,Northbound,S,20154544,2,10,9
4709,Southbound,S,20154544,2,10,9
4709,Eastbound,W,20154621,2,10,9
4709,Westbound,W,20154621,2,10,9
4709,Eastbound,E,20154557,2,10,9
4709,Westbound,E,20154557,2,10,9
5009,Northbound,N,30021551,2,10,6
5009,Southbound,N,30021551,2,10,6
5009,Northbound,S,30021550,2,10,6
5009,Southbound,S,30021550,2,10,6
5009,Eastbound,W,30082393,2,10,6
5009,Westbound,W,30082393,2,10,6
3965,Northbound,N,445156,2,10,6
3965,Southbound,N,445156,2,10,6
3965,Northbound,S,445250,2,10,6
3965,Southbound,S,445250,2,10,6
3965,Eastbound,W,445222,2,10,6
3965,Westbound,W,445222,2,10,6
3965,Eastbound,E,445155,2,10,6
3965,Westbound,E,445155,2,10,6
4039,Northbound,N,20044501,2,10,6
4039,Southbound,N,20044501,2,10,6
4039,Northbound,S,14204029,2,10,6
4039,Southbound,S,14204029,2,10,6
4039,Eastbound,W,30012612,2,10,6
4039,Westbound,W,30012612,2,10,6
4039,Eastbound,E,14204001,2,10,6
4039,Westbound,E,14204001,2,10,6
4202,Northbound,N,3065754,2,10,6
4202,Southbound,N,3065754,2,10,6
4202,Northbound,S,14037155,2,10,6
4202,Southbound,S,14037155,2,10,6
4202,Eastbound,W,1146332,2,10,6
4202,Westbound,W,1146332,2,10,6
4202,Eastbound,E,10864309,2,10,6
4202,Westbound,E,10864309,2,10,6
4363,Northbound,N,30073909,2,10,6
4363,Southbound,N,30073909,2,10,6
4363,Northbound,S,436832,2,10,6
4363,Southbound,S,436832,2,10,6
4363,Eastbound,W,436758,2,10,6
4363,Westbound,W,436758,2,10,6
4363,Eastbound,E,436731,2,10,6
4363,Westbound,E,436731,2,10,6
4507,Northbound,N,1139880,2,10,6
4507,Southbound,N,1139880,2,10,6
4507,Northbound,S,1140199,2,10,6
4507,Southbound,S,1140199,2,10,6
4507,Eastbound,W,1139963,2,10,6
4507,Westbound,W,1139963,2,10,6
4507,Eastbound,E,1139879,2,10,6
4507,Westbound,E,1139879,2,10,6
4720,Northbound,N,30016129,2,10,6
4720,Southbound,N,30016129,2,10,6
4720,Northbound,S,8680975,2,10,6
4720,Southbound,S,8680975,2,10,6
4720,Eastbound,W,432,2,10,6
4720,Westbound,W,432,2,10,6
4720,Eastbound,E,8677049,2,10,6
4720,Westbound,E,8677049,2,10,6
4778,Northbound,N,8824030,2,10,6
4778,Southbound,N,8824030,2,10,6
4778,Northbound,S,7862433,2,10,6
4778,Southbound,S,7862433,2,10,6
4778,Eastbound,W,6238151,2,10,6
4778,Westbound,W,6238151,2,10,6
4778,Eastbound,E,6195239,2,10,6
4778,Westbound,E,6195239,2,10,6
4779,Northbound,N,6231632,2,10,6
4779,Southbound,N,6231632,2,10,6
4779,Northbound,S,20048482,2,10,6
4779,Southbound,S,20048482,2,10,6
4779,Eastbound,W,914479,2,10,6
4779,Westbound,W,914479,2,10,6
4779,Eastbound,E,6195251,2,10,6
4779,Westbound,E,6195251,2,10,6
4873,Northbound,N,20044267,2,10,6
4873,Southbound,N,20044267,2,10,6
4873,Northbound,S,30089847,2,10,6
4873,Southbound,S,30089847,2,10,6
4873,Eastbound,W,8087218,2,10,6
4873,Westbound,W,8087218,2,10,6
4873,Eastbound,E,30089844,2,10,6
4873,Westbound,E,30089844,2,10,6
4924,Northbound,N,14013313,2,10,6
4924,Southbound,N,14013313,2,10,6
4924,Northbound,S,14013595,2,10,6
4924,Southbound,S,14013595,2,10,6
4924,Eastbound,W,1142774,2,10,6
4924,Westbound,W,1142774,2,10,6
4924,Eastbound,E,8416915,2,10,6
4924,Westbound,E,8416915,2,10,6
4978,Northbound,N,20231119,2,10,6
4978,Southbound,N,20231119,2,10,6
4978,Northbound,S,30017549,2,10,6
4978,Southbound,S,30017549,2,10,6
4978,Eastbound,W,8608502,2,10,6
4978,Westbound,W,8608502,2,10,6
4978,Eastbound,E,8608491,2,10,6
4978,Westbound,E,8608491,2,10,6
5172,Northbound,N,30015105,2,10,6
5172,Southbound,N,30015105,2,10,6
5172,Northbound,S,9410000,2,10,6
5172,Southbound,S,9410000,2,10,6
5172,Eastbound,W,1449,2,10,6
5172,Westbound,W,1449,2,10,6
5172,Eastbound,E,1366,2,10,6
5172,Westbound,E,1366,2,10,6
5188,Northbound,N,1145785,2,10,6
5188,Southbound,N,1145785,2,10,6
5188,Northbound,S,30057507,2,10,6
5188,Southbound,S,30057507,2,10,6
5188,Eastbound,W,1145812,2,10,6
5188,Westbound,W,1145812,2,10,6
5188,Eastbound,E,8396807,2,10,6
5188,Westbound,E,8396807,2,10,6
5197,Northbound,N,6027215,2,10,6
5197,Southbound,N,6027215,2,10,6
5197,Northbound,S,914882,2,10,6
5197,Southbound,S,914882,2,10,6
5197,Eastbound,W,9941956,2,10,6
5197,Westbound,W,9941956,2,10,6
5197,Eastbound,E,20230538,2,10,6
5197,Westbound,E,20230538,2,10,6
5232,Northbound,N,111863,2,10,6
5232,Southbound,N,111863,2,10,6
5232,Northbound,S,5413270,2,10,6
5232,Southbound,S,5413270,2,10,6
5232,Eastbound,W,444763,2,10,6
5232,Westbound,W,444763,2,10,6
5232,Eastbound,E,5413251,2,10,6
5232,Westbound,E,5413251,2,10,6
5390,Northbound,N,14037089,2,10,6
5390,Southbound,N,14037089,2,10,6
5390,Northbound,S,30017572,2,10,6
5390,Southbound,S,30017572,2,10,6
5390,Eastbound,W,8608491,2,10,6
5390,Westbound,W,8608491,2,10,6
5390,Eastbound,E,10663266,2,10,6
5390,Westbound,E,10663266,2,10,6
5450,Northbound,N,908438,2,10,6
5450,Southbound,N,908438,2,10,6
5450,Northbound,S,20059766,2,10,6
5450,Southbound,S,20059766,2,10,6
5450,Eastbound,W,908459,2,10,6
5450,Westbound,W,908459,2,10,6
5450,Eastbound,E,20059760,2,10,6
5450,Westbound,E,20059760,2,10,6
5586,Northbound,N,113237,2,10,6
5586,Southbound,N,113237,2,10,6
5586,Northbound,S,113254,2,10,6
5586,Southbound,S,113254,2,10,6
5586,Eastbound,W,113240,2,10,6
5586,Westbound,W,113240,2,10,6
5586,Eastbound,E,2286552,2,10,6
5586,Westbound,E,2286552,2,10,6
5600,Northbound,N,111501,2,10,6
5600,Southbound,N,111501,2,10,6
5600,Northbound,S,6674318,2,10,6
5600,Southbound,S,6674318,2,10,6
5600,Eastbound,W,111591,2,10,6
5600,Westbound,W,111591,2,10,6
5600,Eastbound,E,111495,2,10,6
5600,Westbound,E,111495,2,10,6
5614,Northbound,N,12189729,2,10,6
5614,Southbound,N,12189729,2,10,6
5614,Northbound,S,14014172,2,10,6
5614,Southbound,S,14014172,2,10,6
5614,Eastbound,W,14014159,2,10,6
5614,Westbound,W,14014159,2,10,6
5614,Eastbound,E,1143284,2,10,6
5614,Westbound,E,1143284,2,10,6
5693,Northbound,N,9340537,2,10,6
5693,Southbound,N,9340537,2,10,6
5693,Northbound,S,4684751,2,10,6
5693,Southbound,S,4684751,2,10,6
5693,Eastbound,W,110316,2,10,6
5693,Westbound,W,110316,2,10,6
5693,Eastbound,E,110270,2,10,6
5693,Westbound,E,110270,2,10,6
5865,Northbound,N,8127,2,10,6
5865,Southbound,N,8127,2,10,6
5865,Northbound,S,14067359,2,10,6
5865,Southbound,S,14067359,2,10,6
5865,Eastbound,W,8128,2,10,6
5865,Westbound,W,8128,2,10,6
5865,Eastbound,E,8174,2,10,6
5865,Westbound,E,8174,2,10,6
5880,Northbound,N,20079154,2,10,6
5880,Southbound,N,20079154,2,10,6
5880,Northbound,S,14066953,2,10,6
5880,Southbound,S,14066953,2,10,6
5880,Eastbound,W,3497322,2,10,6
5880,Westbound,W,3497322,2,10,6
5880,Eastbound,E,7459,2,10,6
5880,Westbound,E,7459,2,10,6
6181,Northbound,N,30036320,2,10,6
6181,Southbound,N,30036320,2,10,6
6181,Northbound,S,1143136,2,10,6
6181,Southbound,S,1143136,2,10,6
6181,Eastbound,W,6387985,2,10,6
6181,Westbound,W,6387985,2,10,6
6181,Eastbound,E,10035628,2,10,6
6181,Westbound,E,10035628,2,10,6
6848,Northbound,N,10258028,2,10,6
6848,Southbound,N,10258028,2,10,6
6848,Northbound,S,13232840,2,10,6
6848,Southbound,S,13232840,2,10,6
6848,Eastbound,W,2884115,2,10,6
6848,Westbound,W,2884115,2,10,6
6848,Eastbound,E,20057357,2,10,6
6848,Westbound,E,20057357,2,10,6
11879,Northbound,N,14078493,2,10,6
11879,Southbound,N,14078493,2,10,6
11879,Northbound,S,14072838,2,10,6
11879,Southbound,S,14072838,2,10,6
11879,Eastbound,W,8745,2,10,6
11879,Westbound,W,8745,2,10,6
11879,Eastbound,E,14068812,2,10,6
11879,Westbound,E,14068812,2,10,6
12116,Northbound,N,30073968,2,10,6
12116,Southbound,N,30073968,2,10,6
12116,Northbound,S,14021164,2,10,6
12116,Southbound,S,14021164,2,10,6
12116,Eastbound,W,8677216,2,10,6
12116,Westbound,W,8677216,2,10,6
12116,Eastbound,E,14021105,2,10,6
12116,Westbound,E,14021105,2,10,6
